Date,Area,TotalTestedCases,TotalConfCases,TotalPosTests1,TotalCured,TotalDeaths
04.03.2020,Canton_SG,,1,,,
05.03.2020,Canton_SG,,,,,
06.03.2020,Canton_SG,,2,,,
07.03.2020,Canton_SG,,,,,
08.03.2020,Canton_SG,,,,,
09.03.2020,Canton_SG,,,,,
10.03.2020,Canton_SG,,,,,
11.03.2020,Canton_SG,,,,,
12.03.2020,Canton_SG,,,,,
13.03.2020,Canton_SG,,,,,
14.03.2020,Canton_SG,,26,,,
15.03.2020,Canton_SG,,,,,
16.03.2020,Canton_SG,,47,,,
17.03.2020,Canton_SG,,,,,
18.03.2020,Canton_SG,,61,,,
19.03.2020,Canton_SG,,85,,,
